;15;20;25;30;35;40
0.00;-0.0046911;-0.0054565;-0.0060825;-0.0065869;-0.0070416;-0.0074101
0.05;-0.0045340;-0.0053186;-0.0059273;-0.0063741;-0.0066753;-0.0068780
0.10;-0.0044377;-0.0052207;-0.0058103;-0.0061932;-0.0063884;-0.0064478
0.15;-0.0044300;-0.0051923;-0.0057429;-0.0060688;-0.0061515;-0.0060636
0.20;-0.0045527;-0.0052619;-0.0057719;-0.0060149;-0.0059444;-0.0056158
0.25;-0.0047734;-0.0054506;-0.0059526;-0.0059455;-0.0056467;-0.0050376
0.30;-0.0050958;-0.0057176;-0.0060270;-0.0057738;-0.0052059;-0.0043104
0.35;-0.0054507;-0.0058953;-0.0059078;-0.0054697;-0.0045940;-0.0032918
0.40;-0.0056607;-0.0058968;-0.0056612;-0.0050117;-0.0037613;-0.0018414
0.45;-0.0057051;-0.0057819;-0.0053115;-0.0043896;-0.0025544;
0.50;-0.0056579;-0.0055782;-0.0048851;-0.0035172;-0.0007321;
0.55;-0.0055759;-0.0053014;-0.0043687;-0.0023250;;
0.60;-0.0054380;-0.0049523;-0.0036759;-0.0004032;;
0.65;-0.0052199;-0.0045410;-0.0026476;;;
0.70;-0.0049564;-0.0040130;-0.0011084;;;
0.75;-0.0046636;-0.0032887;;;;
0.80;-0.0043091;-0.0022992;;;;
0.85;-0.0038873;-0.0009738;;;;
0.90;-0.0033566;;;;;
0.95;-0.0026646;;;;;
1.00;-0.0017430;;;;;
1.05;-0.0006124;;;;;
1.10;;;;;;
1.15;;;;;;
1.20;;;;;;
1.25;;;;;;
1.30;;;;;;
1.35;;;;;;
1.40;;;;;;
