;15;20;25;30;35;40
0.00;-0.040031;-0.038083;-0.035470;-0.032189;-0.028839;-0.025414
0.05;-0.039858;-0.037083;-0.034202;-0.030859;-0.027550;-0.024123
0.10;-0.040038;-0.036684;-0.033573;-0.030123;-0.026822;-0.023205
0.15;-0.040809;-0.037216;-0.033632;-0.029908;-0.026577;-0.022410
0.20;-0.042396;-0.038413;-0.034388;-0.030385;-0.026172;-0.021341
0.25;-0.045402;-0.040840;-0.035775;-0.030919;-0.025356;-0.019716
0.30;-0.049976;-0.044292;-0.037567;-0.030830;-0.024109;-0.017456
0.35;-0.054213;-0.046680;-0.038924;-0.030182;-0.021959;-0.014082
0.40;-0.057739;-0.048327;-0.038889;-0.028623;-0.019085;-0.008901
0.45;-0.060324;-0.049266;-0.037900;-0.026229;-0.014650;
0.50;-0.062192;-0.049598;-0.036085;-0.022564;-0.007520;
0.55;-0.063277;-0.049095;-0.033546;-0.016744;;
0.60;-0.063795;-0.047741;-0.029403;-0.007498;;
0.65;-0.063907;-0.045450;-0.023170;;;
0.70;-0.063696;-0.041980;-0.014579;;;
0.75;-0.063072;-0.036963;-0.003321;;;
0.80;-0.061902;-0.030301;;;;
0.85;-0.059763;-0.021600;;;;
0.90;-0.056122;-0.010223;;;;
0.95;-0.049762;;;;;
1.00;-0.041844;;;;;
1.05;-0.032690;;;;;
1.10;-0.021570;;;;;
1.15;-0.008423;;;;;
1.20;;;;;;
1.25;;;;;;
1.30;;;;;;
1.35;;;;;;
1.40;;;;;;
