;15;20;25;30;35
0.00;-0.0063047;-0.0074449;-0.0082701;-0.0097206;-0.0090639
0.05;-0.0058777;-0.0069454;-0.0078015;-0.0089649;-0.0085376
0.10;-0.0056096;-0.0066217;-0.0075097;-0.0083797;-0.0081036
0.15;-0.0055883;-0.0065426;-0.0073056;-0.0078942;-0.0077908
0.20;-0.0058241;-0.0067510;-0.0073403;-0.0076112;-0.0075249
0.25;-0.0062399;-0.0070527;-0.0075060;-0.0075939;-0.0072728
0.30;-0.0066077;-0.0072991;-0.0076389;-0.0075035;-0.0069012
0.35;-0.0069009;-0.0074737;-0.0076366;-0.0073000;-0.0063050
0.40;-0.0070809;-0.0075559;-0.0075206;-0.0068490;-0.0052610
0.45;-0.0071821;-0.0074713;-0.0072250;-0.0060338;-0.0037125
0.50;-0.0072314;-0.0072772;-0.0067563;-0.0049012;-0.0009951
0.55;-0.0071901;-0.0070128;-0.0059818;-0.0033269;
0.60;-0.0070281;-0.0066475;-0.0048745;-0.0006957;
0.65;-0.0068496;-0.0061676;-0.0035493;;
0.70;-0.0066302;-0.0054195;-0.0016437;;
0.75;-0.0063260;-0.0044431;;;
0.80;-0.0059542;-0.0031335;;;
0.85;-0.0054320;-0.0013404;;;
0.90;-0.0046923;;;;
0.95;-0.0037272;;;;
1.00;-0.0024731;;;;
1.05;-0.0009534;;;;
1.10;;;;;
1.15;;;;;
1.20;;;;;
1.25;;;;;
1.30;;;;;
1.35;;;;;
1.40;;;;;
