;15;20;25;30;35
0.00;-0.051242;-0.048261;-0.045481;-0.042214;-0.038271
0.05;-0.050927;-0.047433;-0.044143;-0.040576;-0.036191
0.10;-0.051050;-0.047129;-0.043643;-0.039316;-0.034784
0.15;-0.051903;-0.047662;-0.043930;-0.038737;-0.033912
0.20;-0.053930;-0.049571;-0.045141;-0.038887;-0.033204
0.25;-0.057621;-0.052679;-0.047049;-0.039176;-0.032129
0.30;-0.062807;-0.056789;-0.049129;-0.039155;-0.030504
0.35;-0.068396;-0.060060;-0.049904;-0.038255;-0.028017
0.40;-0.073199;-0.061866;-0.049140;-0.036538;-0.024454
0.45;-0.076443;-0.062422;-0.047486;-0.033651;-0.019252
0.50;-0.078521;-0.062549;-0.045321;-0.029069;-0.011827
0.55;-0.079868;-0.062090;-0.042191;-0.022302;
0.60;-0.080392;-0.060571;-0.037283;-0.012690;
0.65;-0.080533;-0.057853;-0.029687;;
0.70;-0.080181;-0.053442;-0.019120;;
0.75;-0.079435;-0.046963;-0.005318;;
0.80;-0.078035;-0.038306;;;
0.85;-0.075317;-0.027436;;;
0.90;-0.069994;-0.014211;;;
0.95;-0.062363;;;;
1.00;-0.053528;;;;
1.05;-0.042449;;;;
1.10;-0.030079;;;;
1.15;-0.016471;;;;
1.20;-0.001665;;;;
1.25;;;;;
1.30;;;;;
1.35;;;;;
1.40;;;;;
