"r","cld"
0.199714,0.290388
0.211489,0.311659
0.227213,0.341144
0.237703,0.360712
0.249147,0.380664
0.263071,0.405412
0.277566,0.433807
0.292062,0.460857
0.30465,0.484839
0.316094,0.505366
0.325439,0.52436
0.33612,0.545464
0.347373,0.565607
0.359893,0.589886
0.369582,0.607702
0.378362,0.625213
0.388201,0.645009
0.39683,0.662521
0.404096,0.676987
0.412876,0.694346
0.427561,0.719927
0.438309,0.739722
0.449663,0.759212
0.458444,0.773372
0.46889,0.789512
0.478277,0.80291
0.487966,0.817679
0.499018,0.832751
0.510071,0.847519
0.520518,0.861679
0.532479,0.875075
0.544137,0.888319
0.556099,0.900954
0.567455,0.912523
0.576843,0.921046
0.587442,0.929874
0.596376,0.937027
0.606068,0.944179
0.617122,0.951331
0.62651,0.95757
0.637413,0.964264
0.647407,0.969741
0.656342,0.974
0.6677,0.979323
0.68042,0.985712
0.689809,0.989208
0.701318,0.993465
0.713434,0.996808
0.722823,0.999238
0.735999,1.0006
0.748267,0.999981
0.759626,0.999364
0.770531,0.996614
0.782648,0.992645
0.791281,0.988525
0.801581,0.983034
0.810216,0.976782
0.819002,0.969464
0.829454,0.960317
0.837331,0.951628
0.845361,0.94233
0.855965,0.928765
0.865965,0.913525
0.874904,0.898133
0.883086,0.883046
0.888845,0.867352
0.89627,0.850134
0.90309,0.832915
0.90794,0.816613
0.917639,0.791166
0.925217,0.768768
0.931128,0.749571
0.935979,0.730678
0.940375,0.713005
0.945075,0.694569
0.949017,0.677048
0.953262,0.660289
0.957203,0.643378
0.961145,0.626466
0.964632,0.60986
0.968423,0.592187
0.971456,0.576799
0.974792,0.558212
