"r","h_b"
0.200573,0.180322
0.201908,0.175417
0.205916,0.16737
0.212405,0.158402
0.221756,0.15135
0.22958,0.14675
0.239504,0.142532
0.251527,0.139003
0.270611,0.135319
0.290458,0.132172
0.313359,0.128333
0.334733,0.125031
0.358588,0.121806
0.387214,0.117812
0.410687,0.11451
0.435496,0.111361
0.457634,0.108365
0.482634,0.105139
0.506489,0.102297
0.536832,0.098456
0.56374,0.09523
0.591412,0.092309
0.614885,0.089543
0.645038,0.086009
0.679389,0.082091
0.709733,0.07871
0.741412,0.075482
0.768321,0.072102
0.797519,0.068874
0.821183,0.066338
0.844847,0.064032
0.866985,0.061803
0.884924,0.059805
0.90223,0.057547
0.920503,0.054355
0.93481,0.051261
0.94563,0.048169
0.957892,0.044351
0.965827,0.041018
0.974002,0.036961
